Date,Open,High,Low,Close,Adj Close,Volume
6/27/2017,2436.340088,2440.149902,2419.379883,2419.379883,2419.379883,3563910000
6/28/2017,2428.699951,2442.969971,2428.02002,2440.689941,2440.689941,3500800000
6/29/2017,2442.379883,2442.72998,2405.699951,2419.699951,2419.699951,3900280000
6/30/2017,2429.199951,2432.709961,2421.649902,2423.409912,2423.409912,3361590000
7/3/2017,2431.389893,2439.169922,2428.689941,2429.01001,2429.01001,1962290000
7/5/2017,2430.780029,2434.899902,2422.050049,2432.540039,2432.540039,3367220000
7/6/2017,2423.439941,2424.280029,2407.699951,2409.75,2409.75,3364520000
7/7/2017,2413.52002,2426.919922,2413.52002,2425.179932,2425.179932,2901330000
7/10/2017,2424.51001,2432,2422.27002,2427.429932,2427.429932,2999130000
7/11/2017,2427.350098,2429.300049,2412.790039,2425.530029,2425.530029,3106750000
7/12/2017,2435.75,2445.76001,2435.75,2443.25,2443.25,3171620000
7/13/2017,2444.98999,2449.320068,2441.689941,2447.830078,2447.830078,3067670000
7/14/2017,2449.159912,2463.540039,2446.689941,2459.27002,2459.27002,2736640000
7/17/2017,2459.5,2462.820068,2457.159912,2459.139893,2459.139893,2793170000
7/18/2017,2455.879883,2460.919922,2450.340088,2460.610107,2460.610107,2962130000
7/19/2017,2463.850098,2473.830078,2463.850098,2473.830078,2473.830078,3059760000
7/20/2017,2475.560059,2477.620117,2468.429932,2473.449951,2473.449951,3182780000
7/21/2017,2467.399902,2472.540039,2465.060059,2472.540039,2472.540039,3059570000
7/24/2017,2472.040039,2473.100098,2466.320068,2469.909912,2469.909912,3010240000
7/25/2017,2477.879883,2481.23999,2474.909912,2477.129883,2477.129883,4108060000
7/26/2017,2479.969971,2481.689941,2474.939941,2477.830078,2477.830078,3557020000
7/27/2017,2482.76001,2484.040039,2459.929932,2475.419922,2475.419922,3995520000
7/28/2017,2469.120117,2473.530029,2464.659912,2472.100098,2472.100098,3294770000
7/31/2017,2475.939941,2477.959961,2468.530029,2470.300049,2470.300049,3469210000
8/1/2017,2477.100098,2478.51001,2471.139893,2476.350098,2476.350098,3460860000
8/2/2017,2480.379883,2480.379883,2466.47998,2477.570068,2477.570068,3478580000
8/3/2017,2476.030029,2476.030029,2468.850098,2472.159912,2472.159912,3645020000
8/4/2017,2476.879883,2480,2472.080078,2476.830078,2476.830078,3235140000
8/7/2017,2477.139893,2480.949951,2475.879883,2480.909912,2480.909912,2931780000
8/8/2017,2478.350098,2490.870117,2470.320068,2474.919922,2474.919922,3344640000
8/9/2017,2465.350098,2474.409912,2462.080078,2474.02002,2474.02002,3308060000
8/10/2017,2465.379883,2465.379883,2437.75,2438.209961,2438.209961,3621070000
8/11/2017,2441.040039,2448.090088,2437.850098,2441.320068,2441.320068,3159930000
8/14/2017,2454.959961,2468.219971,2454.959961,2465.840088,2465.840088,2822550000
8/15/2017,2468.659912,2468.899902,2461.610107,2464.610107,2464.610107,2913100000
8/16/2017,2468.629883,2474.929932,2463.860107,2468.110107,2468.110107,2953650000
8/17/2017,2462.949951,2465.02002,2430.01001,2430.01001,2430.01001,3142620000
8/18/2017,2427.639893,2440.27002,2420.689941,2425.550049,2425.550049,3415680000
8/21/2017,2425.5,2430.580078,2417.350098,2428.370117,2428.370117,2788150000
8/22/2017,2433.75,2454.77002,2433.669922,2452.51001,2452.51001,2777490000
8/23/2017,2444.879883,2448.909912,2441.419922,2444.040039,2444.040039,2785290000
8/24/2017,2447.909912,2450.389893,2436.189941,2438.969971,2438.969971,2846590000
8/25/2017,2444.719971,2453.959961,2442.219971,2443.050049,2443.050049,2588780000
8/28/2017,2447.350098,2449.120117,2439.030029,2444.23999,2444.23999,2677700000
8/29/2017,2431.939941,2449.189941,2428.199951,2446.300049,2446.300049,2737580000
8/30/2017,2446.060059,2460.310059,2443.77002,2457.590088,2457.590088,2633660000
8/31/2017,2462.649902,2475.01001,2462.649902,2471.649902,2471.649902,3348110000
9/1/2017,2474.419922,2480.379883,2473.850098,2476.550049,2476.550049,2710730000
9/5/2017,2470.350098,2471.969971,2446.550049,2457.850098,2457.850098,3490260000
9/6/2017,2463.830078,2469.639893,2459.199951,2465.540039,2465.540039,3374410000
9/7/2017,2468.060059,2468.620117,2460.290039,2465.100098,2465.100098,3353930000
9/8/2017,2462.25,2467.110107,2459.399902,2461.429932,2461.429932,3302490000
9/11/2017,2474.52002,2488.949951,2474.52002,2488.110107,2488.110107,0
9/12/2017,2491.939941,2496.77002,2490.370117,2496.47998,2496.47998,3230920000
9/13/2017,2493.889893,2498.370117,2492.139893,2498.370117,2498.370117,3368050000
9/14/2017,2494.560059,2498.429932,2491.350098,2495.620117,2495.620117,3414460000
9/15/2017,2495.669922,2500.22998,2493.159912,2500.22998,2500.22998,4853170000
9/18/2017,2502.51001,2508.320068,2499.919922,2503.870117,2503.870117,3194300000
9/19/2017,2506.290039,2507.840088,2503.189941,2506.649902,2506.649902,3249100000
9/20/2017,2506.840088,2508.850098,2496.669922,2508.23999,2508.23999,3530010000
9/21/2017,2507.159912,2507.159912,2499,2500.600098,2500.600098,2930860000
9/22/2017,2497.26001,2503.469971,2496.540039,2502.219971,2502.219971,2865960000
9/25/2017,2499.389893,2502.540039,2488.030029,2496.659912,2496.659912,3297890000
9/26/2017,2501.040039,2503.51001,2495.120117,2496.840088,2496.840088,3043110000
